UF,ano,area_desmatada_km
AC,2022.0,1005.8639714607376
AC,2023.0,462.95179914034077
AC,2024.0,411.3486740574316
AM,2022.0,3047.684043418366
AM,2023.0,1309.5532217350287
AM,2024.0,1110.4024936270914
AP,2022.0,14.071744400893776
AP,2023.0,15.744115724911408
AP,2024.0,29.420656192340157
MA,2022.0,299.7447925832987
MA,2023.0,309.86044196648066
MA,2024.0,294.0575911229235
MS,2022.0,0.096765547899172
MT,2022.0,2020.6208659309953
MT,2023.0,1940.1025503238322
MT,2024.0,1302.5179211820755
PA,2022.0,4530.624570563865
PA,2023.0,2884.8089957145917
PA,2024.0,2260.842762264992
RO,2022.0,1452.199420578922
RO,2023.0,796.8480804590592
RO,2024.0,378.4173039266722
RR,2022.0,293.18354371304395
RR,2023.0,276.00933393646943
RR,2024.0,447.7811953655382
TO,2022.0,30.956182114594036
TO,2023.0,30.42795180379757
TO,2024.0,33.694210408691845
